model,dataset,split,pca_dim,cheap_auroc,cheap_plus_pca_auroc,gain,pca_variance
llama31_8b_instruct,commonsenseqa,1,128,0.8138715638715639,0.7655925155925157,-0.048279048279048165,0.8273319005966187
llama31_8b_instruct,commonsenseqa,1,256,0.8138715638715639,0.7653615153615153,-0.04851004851004859,0.9121083617210388
llama31_8b_instruct,commonsenseqa,2,8,0.8003580503580503,0.8132940632940634,0.012936012936013097,0.4032337963581085
llama31_8b_instruct,commonsenseqa,2,16,0.8003580503580503,0.8147378147378148,0.014379764379764515,0.5208252668380737
llama31_8b_instruct,commonsenseqa,2,32,0.8003580503580503,0.8141025641025641,0.013744513744513798,0.6297258138656616
llama31_8b_instruct,commonsenseqa,2,64,0.8003580503580503,0.8078078078078078,0.00744975744975751,0.7344810962677002
llama31_8b_instruct,commonsenseqa,2,128,0.8003580503580503,0.7873065373065373,-0.013051513051512975,0.8284975290298462
llama31_8b_instruct,commonsenseqa,2,256,0.8003580503580503,0.6918456918456918,-0.10851235851235852,0.9125574231147766
llama31_8b_instruct,commonsenseqa,3,8,0.8258258258258259,0.8272695772695773,0.0014437514437514176,0.4006962776184082
llama31_8b_instruct,commonsenseqa,3,16,0.8258258258258259,0.8305035805035804,0.004677754677754553,0.5180865526199341
llama31_8b_instruct,commonsenseqa,3,32,0.8258258258258259,0.8188380688380688,-0.00698775698775711,0.6264830231666565
llama31_8b_instruct,commonsenseqa,3,64,0.8258258258258259,0.7994917994917994,-0.026334026334026484,0.7319384813308716
llama31_8b_instruct,commonsenseqa,3,128,0.8258258258258259,0.794987294987295,-0.03083853083853083,0.8265101313591003
llama31_8b_instruct,commonsenseqa,3,256,0.8258258258258259,0.7855162855162856,-0.04030954030954026,0.9115798473358154
llama31_8b_instruct,commonsenseqa,4,8,0.7567567567567568,0.7743127743127742,0.017556017556017434,0.4044021666049957
llama31_8b_instruct,commonsenseqa,4,16,0.7567567567567568,0.7715985215985216,0.014841764841764804,0.5205755233764648
llama31_8b_instruct,commonsenseqa,4,32,0.7567567567567568,0.7630515130515131,0.006294756294756287,0.6283771395683289
llama31_8b_instruct,commonsenseqa,4,64,0.7567567567567568,0.7566990066990066,-5.775005775021658e-05,0.7336090803146362
llama31_8b_instruct,commonsenseqa,4,128,0.7567567567567568,0.7296719796719796,-0.02708477708477719,0.8280625939369202
llama31_8b_instruct,commonsenseqa,4,256,0.7567567567567568,0.7439939939939939,-0.012762762762762891,0.9123455286026001
llama31_8b_instruct,hellaswag,0,8,0.7880379874722166,0.7783895736512426,-0.009648413820974033,0.4374038577079773
llama31_8b_instruct,hellaswag,0,16,0.7880379874722166,0.7819256415437462,-0.006112345928470431,0.5550202131271362
llama31_8b_instruct,hellaswag,0,32,0.7880379874722166,0.7753586583148111,-0.01267932915740555,0.6599873304367065
llama31_8b_instruct,hellaswag,0,64,0.7880379874722166,0.7448474439280663,-0.043190543544150306,0.7622010707855225
llama31_8b_instruct,hellaswag,0,128,0.7880379874722166,0.737724792887452,-0.05031319458476469,0.8522537350654602
llama31_8b_instruct,hellaswag,0,256,0.7880379874722166,0.7186805415235401,-0.06935744594867654,0.9286584258079529
llama31_8b_instruct,hellaswag,1,8,0.7750555667811679,0.7791473024853506,0.004091735704182642,0.43478426337242126
llama31_8b_instruct,hellaswag,1,16,0.7750555667811679,0.7673267326732673,-0.007728834107900595,0.5524569749832153
llama31_8b_instruct,hellaswag,1,32,0.7750555667811679,0.7612649020004042,-0.01379066478076374,0.6568627953529358
llama31_8b_instruct,hellaswag,1,64,0.7750555667811679,0.7401495251565973,-0.03490604162457067,0.7593661546707153
llama31_8b_instruct,hellaswag,1,128,0.7750555667811679,0.7183774499898969,-0.056678116791270994,0.8507171869277954
llama31_8b_instruct,hellaswag,1,256,0.7750555667811679,0.6886744796928673,-0.08638108708830061,0.9277269840240479
llama31_8b_instruct,hellaswag,2,8,0.7760153566377046,0.7829864619114972,0.006971105273792633,0.4354771673679352
llama31_8b_instruct,hellaswag,2,16,0.7760153566377046,0.7784906041624571,0.0024752475247524774,0.5503822565078735
llama31_8b_instruct,hellaswag,2,32,0.7760153566377046,0.7496463932107498,-0.026368963426954828,0.6559030413627625
llama31_8b_instruct,hellaswag,2,64,0.7760153566377046,0.7527783390583956,-0.02323701757930896,0.7595072388648987
llama31_8b_instruct,hellaswag,2,128,0.7760153566377046,0.7284805011113356,-0.047534855526369046,0.8511781096458435
llama31_8b_instruct,hellaswag,2,256,0.7760153566377046,0.705597090321277,-0.07041826631642756,0.9281610250473022
llama31_8b_instruct,hellaswag,3,8,0.7766215397049908,0.7673772479288745,-0.009244291776116298,0.43527883291244507
llama31_8b_instruct,hellaswag,3,16,0.7766215397049908,0.7687411598302687,-0.007880379874722121,0.550940215587616
llama31_8b_instruct,hellaswag,3,32,0.7766215397049908,0.7575267730854718,-0.019094766619519032,0.6554648280143738
llama31_8b_instruct,hellaswag,3,64,0.7766215397049908,0.7433319862598505,-0.033289553445140285,0.7588088512420654
llama31_8b_instruct,hellaswag,3,128,0.7766215397049908,0.7323196605374822,-0.04430187916750861,0.8501409888267517
llama31_8b_instruct,hellaswag,3,256,0.7766215397049908,0.6948878561325522,-0.0817336835724386,0.9273335337638855
llama31_8b_instruct,hellaswag,4,8,0.728328955344514,0.7204485754697917,-0.007880379874722343,0.437191367149353
llama31_8b_instruct,hellaswag,4,16,0.728328955344514,0.707668215801172,-0.02066073954334202,0.5535611510276794
llama31_8b_instruct,hellaswag,4,32,0.728328955344514,0.7001414427157001,-0.028187512628813916,0.6578640341758728
llama31_8b_instruct,hellaswag,4,64,0.728328955344514,0.6994847443928067,-0.028844210951707305,0.7606305480003357
llama31_8b_instruct,hellaswag,4,128,0.728328955344514,0.6863507779349365,-0.041978177409577544,0.8514864444732666
llama31_8b_instruct,hellaswag,4,256,0.728328955344514,0.6754899979793898,-0.05283895736512423,0.9279786348342896
llama31_8b_instruct,mmlu,0,8,0.8289449025487255,0.8273519490254871,-0.0015929535232384051,0.43335193395614624
llama31_8b_instruct,mmlu,0,16,0.8289449025487255,0.81606071964018,-0.012884182908545538,0.5498484373092651
llama31_8b_instruct,mmlu,0,32,0.8289449025487255,0.8144677661169416,-0.014477136431783943,0.6482098698616028
llama31_8b_instruct,mmlu,0,64,0.8289449025487255,0.8236506746626686,-0.005294227886056935,0.7418345212936401
llama31_8b_instruct,mmlu,0,128,0.8289449025487255,0.7961488005997002,-0.03279610194902538,0.8313245177268982
llama31_8b_instruct,mmlu,0,256,0.8289449025487255,0.7668665667166416,-0.062078335832084,0.9158209562301636
llama31_8b_instruct,mmlu,1,8,0.7930097451274363,0.7964299100449774,0.0034201649175411575,0.435556560754776
llama31_8b_instruct,mmlu,1,16,0.7930097451274363,0.7988193403298351,0.005809595202398876,0.5494692325592041
llama31_8b_instruct,mmlu,1,32,0.7930097451274363,0.7986319340329835,0.005622188905547221,0.6481926441192627
llama31_8b_instruct,mmlu,1,64,0.7930097451274363,0.7979291604197901,0.004919415292353846,0.7420348525047302
llama31_8b_instruct,mmlu,1,128,0.7930097451274363,0.7706146926536732,-0.022395052473763055,0.8308539390563965
llama31_8b_instruct,mmlu,1,256,0.7930097451274363,0.7047882308845577,-0.08822151424287861,0.9151495695114136
llama31_8b_instruct,mmlu,2,8,0.8408452023988006,0.8423444527736133,0.0014992503748126884,0.43671703338623047
llama31_8b_instruct,mmlu,2,16,0.8408452023988006,0.8427661169415293,0.0019209145427286911,0.5548590421676636
llama31_8b_instruct,mmlu,2,32,0.8408452023988006,0.838502623688156,-0.002342578710644583,0.6527358889579773
llama31_8b_instruct,mmlu,2,64,0.8408452023988006,0.8315685907046476,-0.009276611694152948,0.7449451684951782
llama31_8b_instruct,mmlu,2,128,0.8408452023988006,0.8175131184407796,-0.023332083958021,0.8334664702415466
llama31_8b_instruct,mmlu,2,256,0.8408452023988006,0.7876686656671664,-0.05317653673163414,0.9171562194824219
llama31_8b_instruct,mmlu,3,8,0.8295539730134933,0.8300224887556222,0.00046851574212891656,0.4343481957912445
llama31_8b_instruct,mmlu,3,16,0.8295539730134933,0.8202773613193404,-0.009276611694152948,0.5507242679595947
llama31_8b_instruct,mmlu,3,32,0.8295539730134933,0.8206053223388307,-0.008948650674662662,0.64801424741745
llama31_8b_instruct,mmlu,3,64,0.8295539730134933,0.8188718140929535,-0.010682158920539808,0.7410833835601807
llama31_8b_instruct,mmlu,3,128,0.8295539730134933,0.8000843328335832,-0.02946964017991016,0.8302516937255859
llama31_8b_instruct,mmlu,3,256,0.8295539730134933,0.7687874812593702,-0.060766491754123075,0.9144312143325806
llama31_8b_instruct,mmlu,4,8,0.800599700149925,0.802754872563718,0.0021551724137930384,0.43205294013023376
llama31_8b_instruct,mmlu,4,16,0.800599700149925,0.80148988005997,0.0008901799100450303,0.5496541261672974
llama31_8b_instruct,mmlu,4,32,0.800599700149925,0.7994752623688156,-0.0011244377811093775,0.6478060483932495
llama31_8b_instruct,mmlu,4,64,0.800599700149925,0.7855134932533733,-0.015086206896551713,0.7411478757858276
llama31_8b_instruct,mmlu,4,128,0.800599700149925,0.761431784107946,-0.039167916041979,0.8302977085113525
llama31_8b_instruct,mmlu,4,256,0.800599700149925,0.7563249625187406,-0.04427473763118439,0.9147239327430725
