model,dataset,split,layer_group,cheap_auroc,hidden_only_auroc,cheap_plus_layer_auroc,gain_over_cheap
llama31_8b_instruct,hellaswag,3,middle,0.7766215397049908,0.671095170741564,0.7608102646999394,-0.015811275005051417
llama31_8b_instruct,hellaswag,3,late,0.7766215397049908,0.7616185087896544,0.7648514851485148,-0.011770054556476062
llama31_8b_instruct,hellaswag,3,final,0.7766215397049908,0.7625277833905839,0.765407152960194,-0.0112143867447968
llama31_8b_instruct,hellaswag,3,all,0.7766215397049908,0.7237825823398666,0.7433319862598505,-0.033289553445140285
llama31_8b_instruct,hellaswag,4,early,0.728328955344514,0.44195797130733483,0.6599818145079814,-0.0683471408365326
llama31_8b_instruct,hellaswag,4,middle,0.728328955344514,0.6613457264093756,0.7256011315417255,-0.002727823802788576
llama31_8b_instruct,hellaswag,4,late,0.728328955344514,0.7239846433622955,0.7207516670034351,-0.007577288341078958
llama31_8b_instruct,hellaswag,4,final,0.728328955344514,0.7204485754697919,0.7122651040614265,-0.016063851283087516
llama31_8b_instruct,hellaswag,4,all,0.728328955344514,0.6889775712265105,0.6994847443928067,-0.028844210951707305
llama31_8b_instruct,mmlu,0,early,0.8289449025487255,0.7015554722638682,0.7998500749625189,-0.02909482758620663
llama31_8b_instruct,mmlu,0,middle,0.8289449025487255,0.7848575712143928,0.8162012743628185,-0.012743628185907019
llama31_8b_instruct,mmlu,0,late,0.8289449025487255,0.7851386806596702,0.8059876311844079,-0.02295727136431769
llama31_8b_instruct,mmlu,0,final,0.8289449025487255,0.8058470764617691,0.8205584707646176,-0.008386431784107917
llama31_8b_instruct,mmlu,0,all,0.8289449025487255,0.7930565967016491,0.8236506746626686,-0.005294227886056935
llama31_8b_instruct,mmlu,1,early,0.7930097451274363,0.7006652923538231,0.779938155922039,-0.013071589205397305
llama31_8b_instruct,mmlu,1,middle,0.7930097451274363,0.761431784107946,0.7661169415292355,-0.026892803598200787
llama31_8b_instruct,mmlu,1,late,0.7930097451274363,0.7827023988005997,0.7934314092953523,0.0004216641679160027
llama31_8b_instruct,mmlu,1,final,0.7930097451274363,0.7797507496251874,0.7916041979010496,-0.0014055472263866386
llama31_8b_instruct,mmlu,1,all,0.7930097451274363,0.7909482758620691,0.7979291604197901,0.004919415292353846
llama31_8b_instruct,mmlu,2,early,0.8408452023988006,0.7332739880059971,0.8248688155922039,-0.015976386806596632
llama31_8b_instruct,mmlu,2,middle,0.8408452023988006,0.8017709895052474,0.83808095952024,-0.0027642428785605855
llama31_8b_instruct,mmlu,2,late,0.8408452023988006,0.8282889805097452,0.8400018740629686,-0.0008433283358320054
llama31_8b_instruct,mmlu,2,final,0.8408452023988006,0.8054254122938531,0.8165760869565218,-0.02426911544227872
llama31_8b_instruct,mmlu,2,all,0.8408452023988006,0.8273519490254873,0.8315685907046476,-0.009276611694152948
llama31_8b_instruct,mmlu,3,early,0.8295539730134933,0.7325712143928036,0.8153579460269865,-0.014196026986506793
llama31_8b_instruct,mmlu,3,middle,0.8295539730134933,0.807674287856072,0.8162481259370316,-0.013305847076461763
llama31_8b_instruct,mmlu,3,late,0.8295539730134933,0.8165292353823087,0.8288511994002999,-0.0007027736131933748
llama31_8b_instruct,mmlu,3,final,0.8295539730134933,0.7775487256371814,0.7918853073463268,-0.037668665667166534
llama31_8b_instruct,mmlu,3,all,0.8295539730134933,0.8120314842578711,0.8188718140929535,-0.010682158920539808
llama31_8b_instruct,mmlu,4,early,0.800599700149925,0.6965423538230884,0.7622282608695652,-0.0383714392803598
llama31_8b_instruct,mmlu,4,middle,0.800599700149925,0.7485007496251874,0.7866847826086958,-0.0139149175412292
llama31_8b_instruct,mmlu,4,late,0.800599700149925,0.7812031484257871,0.8016772863568216,0.0010775862068965747
llama31_8b_instruct,mmlu,4,final,0.800599700149925,0.7591829085457271,0.7731446776611695,-0.02745502248875553
llama31_8b_instruct,mmlu,4,all,0.800599700149925,0.770286731634183,0.7855134932533733,-0.015086206896551713
