model,dataset,seed,pca_dim,cheap_auroc,cheap_plus_pca_auroc,gain,pca_variance
falcon3_7b_instruct,hellaswag,123,64,0.7927022417153996,0.8068957115009746,0.014193469785575,0.7513828873634338
falcon3_7b_instruct,hellaswag,123,128,0.7927022417153996,0.776803118908382,-0.0158991228070175,0.8357816338539124
falcon3_7b_instruct,hellaswag,123,256,0.7927022417153996,0.7629142300194931,-0.0297880116959065,0.9144434332847596
falcon3_7b_instruct,hellaswag,777,8,0.7793006822612085,0.7987938596491229,0.0194931773879143,0.4945476055145263
falcon3_7b_instruct,hellaswag,777,16,0.7793006822612085,0.8024488304093566,0.023148148148148,0.5825042724609375
falcon3_7b_instruct,hellaswag,777,32,0.7793006822612085,0.7926413255360624,0.0133406432748538,0.6656996011734009
falcon3_7b_instruct,hellaswag,777,64,0.7793006822612085,0.7825292397660818,0.0032285575048732,0.7517558336257935
falcon3_7b_instruct,hellaswag,777,128,0.7793006822612085,0.778874269005848,-0.0004264132553605,0.8361696004867554
falcon3_7b_instruct,hellaswag,777,256,0.7793006822612085,0.7775950292397661,-0.0017056530214424,0.9146974086761476
falcon3_7b_instruct,hellaswag,2025,8,0.8391203703703703,0.8556895711500975,0.0165692007797271,0.4979229867458343
falcon3_7b_instruct,hellaswag,2025,16,0.8391203703703703,0.8518518518518519,0.0127314814814815,0.5843744874000549
falcon3_7b_instruct,hellaswag,2025,32,0.8391203703703703,0.8439936647173489,0.0048732943469785,0.6670558452606201
falcon3_7b_instruct,hellaswag,2025,64,0.8391203703703703,0.8298001949317738,-0.0093201754385965,0.7530062198638916
falcon3_7b_instruct,hellaswag,2025,128,0.8391203703703703,0.7687621832358674,-0.0703581871345029,0.836668074131012
falcon3_7b_instruct,hellaswag,2025,256,0.8391203703703703,0.7865497076023391,-0.0525706627680312,0.9150434136390686
falcon3_7b_instruct,mmlu_all,42,8,0.828971875582045,0.8409852859005401,0.0120134103184951,0.3505071103572845
falcon3_7b_instruct,mmlu_all,42,16,0.828971875582045,0.8387036692121438,0.0097317936300987,0.4816166162490845
falcon3_7b_instruct,mmlu_all,42,32,0.828971875582045,0.8365617433414044,0.0075898677593594,0.6449710130691528
falcon3_7b_instruct,mmlu_all,42,64,0.828971875582045,0.8288787483702739,-9.312721177112682e-05,0.7590255737304688
falcon3_7b_instruct,mmlu_all,42,128,0.828971875582045,0.8067144719687092,-0.0222574036133358,0.8391492366790771
falcon3_7b_instruct,mmlu_all,42,256,0.828971875582045,0.7910225367852487,-0.0379493387967962,0.915013551712036
falcon3_7b_instruct,mmlu_all,7,8,0.811650214192587,0.829623766064444,0.017973551871857,0.3513508141040802
falcon3_7b_instruct,mmlu_all,7,16,0.811650214192587,0.8321382007822685,0.0204879865896815,0.4948194622993469
falcon3_7b_instruct,mmlu_all,7,32,0.811650214192587,0.8318122555410691,0.020162041348482,0.6500574350357056
falcon3_7b_instruct,mmlu_all,7,64,0.811650214192587,0.8213354442168002,0.0096852300242131,0.7522546648979187
falcon3_7b_instruct,mmlu_all,7,128,0.811650214192587,0.8018252933507171,-0.0098249208418699,0.8329132795333862
falcon3_7b_instruct,mmlu_all,7,256,0.811650214192587,0.7587539579065004,-0.0528962562860866,0.9108498096466064
falcon3_7b_instruct,mmlu_all,123,8,0.762292791953809,0.7625721735891228,0.0002793816353138,0.3514599204063415
falcon3_7b_instruct,mmlu_all,123,16,0.762292791953809,0.7602439932948407,-0.0020487986589682,0.4852120280265808
falcon3_7b_instruct,mmlu_all,123,32,0.762292791953809,0.7614546470478674,-0.0008381449059415,0.6526456475257874
falcon3_7b_instruct,mmlu_all,123,64,0.762292791953809,0.7505587632706276,-0.0117340286831812,0.75922691822052
falcon3_7b_instruct,mmlu_all,123,128,0.762292791953809,0.7384522257403614,-0.0238405662134475,0.8389270901679993
falcon3_7b_instruct,mmlu_all,123,256,0.762292791953809,0.747532128888061,-0.0147606630657479,0.915013313293457
