model_key,dataset,feature_set,probe,count,mean_auroc,std_auroc,mean_ci_low,mean_ci_high
mistral7b_v03,arc_challenge,direct_pmax,none,5,0.7117857142857142,0.05519041712885613,0.5936416453059457,0.8266109672659997
mistral7b_v03,arc_challenge,hidden_summary_only,logreg,5,0.6895714285714286,0.042638130869934114,0.5545157913098688,0.813422605552728
mistral7b_v03,arc_challenge,pca_hidden_embeddings,extratrees,5,0.6571428571428571,0.03575354984516378,0.5133018642905732,0.7881051061939981
mistral7b_v03,commonsenseqa,cheap_confidence_option,logreg,5,0.7456260720411664,0.024282045982625067,0.6859280739749576,0.8020329689748396
mistral7b_v03,commonsenseqa,cheap_plus_hidden_summary,extratrees,5,0.7439215265866209,0.01594445460847512,0.6830019867351276,0.8028058807764278
mistral7b_v03,commonsenseqa,cheap_plus_pca_hidden,extratrees,5,0.7446719554030874,0.01805309844072539,0.6856554456198005,0.8014783739456657
mistral7b_v03,commonsenseqa,direct_pmax,none,5,0.7353291166380789,0.023858852092987076,0.6742586658440247,0.793788109058817
mistral7b_v03,commonsenseqa,hidden_summary_only,logreg,5,0.6895583190394511,0.02208868567976006,0.6238021908582839,0.7523159640383935
mistral7b_v03,commonsenseqa,pca_hidden_embeddings,logreg,5,0.7253430531732419,0.013866884602749815,0.6638941036618823,0.7844269753486438
mistral7b_v03,hellaswag,cheap_confidence_option,logreg,5,0.7230873745819398,0.027110728574516775,0.6637260136809222,0.7765807754291416
mistral7b_v03,hellaswag,cheap_plus_hidden_summary,extratrees,5,0.7580163043478262,0.019841577387959546,0.7008603452370867,0.80977347306731
mistral7b_v03,hellaswag,cheap_plus_pca_hidden,extratrees,5,0.7657713210702342,0.019577589747409304,0.7079925632518069,0.8176399253274103
mistral7b_v03,hellaswag,direct_pmax,none,5,0.7155988712374582,0.02255173025749284,0.6524830300210921,0.7723674381126351
mistral7b_v03,hellaswag,hidden_summary_only,extratrees,5,0.7283549331103678,0.02277737014911768,0.6662738608237874,0.7869434335829764
mistral7b_v03,hellaswag,pca_hidden_embeddings,extratrees,5,0.7541910535117057,0.03232243887887151,0.6984110364374079,0.807233733084364
mistral7b_v03,mmlu_all,cheap_confidence_option,logreg,5,0.7500161595641534,0.024576887735473764,0.6941792511094806,0.8026910063813621
mistral7b_v03,mmlu_all,cheap_plus_hidden_summary,mlp,5,0.766231127937578,0.029075036456756218,0.7111955848339595,0.8190708286568043
mistral7b_v03,mmlu_all,cheap_plus_pca_hidden,extratrees,5,0.7666097234406021,0.02346908122873672,0.7122397038639149,0.8184589766526476
mistral7b_v03,mmlu_all,direct_pmax,none,5,0.7557689644027887,0.0226267439713668,0.7006696465710872,0.808701424488343
mistral7b_v03,mmlu_all,hidden_summary_only,logreg,5,0.7364236576019206,0.022670815303411775,0.6793019507666065,0.7943858886550536
mistral7b_v03,mmlu_all,pca_hidden_embeddings,extratrees,5,0.7576804099912277,0.02415006455488449,0.7008701672073717,0.810212509987951
olmo2_7b_instruct,arc_challenge,cheap_confidence_option,logreg,5,0.7877525252525253,0.056697753968485504,0.6707257831069056,0.8852710244174302
olmo2_7b_instruct,arc_challenge,cheap_plus_hidden_summary,extratrees,5,0.8002525252525252,0.07147317872112861,0.6892451233271453,0.8923410252942198
olmo2_7b_instruct,arc_challenge,cheap_plus_pca_hidden,extratrees,5,0.8094696969696971,0.06114032192760919,0.6958079596974388,0.9045286497971148
olmo2_7b_instruct,arc_challenge,direct_pmax,none,5,0.7998737373737373,0.06361556698818488,0.6855428634237426,0.8946492564546553
olmo2_7b_instruct,arc_challenge,hidden_summary_only,extratrees,5,0.7022727272727273,0.045604672814662246,0.5673963161377815,0.8126838799884863
