model,dataset,seed,combined_auroc,drop_when_permute_cheap,drop_when_permute_hidden
gemma2_9b_it,hellaswag,0,0.7286324786324786,0.0573038073038072,0.2705257705257704
gemma2_9b_it,hellaswag,1,0.7345247345247345,0.0510878010878012,0.1565009065009065
gemma2_9b_it,hellaswag,2,0.7875550375550376,0.087930587930588,0.2105672105672106
gemma2_9b_it,hellaswag,3,0.7834757834757835,0.0608650608650608,0.2839290339290339
gemma2_9b_it,hellaswag,4,0.7522015022015022,0.0559440559440558,0.1986531986531986
gemma2_9b_it,mmlu,0,0.8617699709107184,0.1499776236294474,0.2403222197359589
gemma2_9b_it,mmlu,1,0.8856008055493398,0.0517453569031102,0.3179682255538151
gemma2_9b_it,mmlu,2,0.8448198702170509,0.2047437905571717,0.0618706645782054
gemma2_9b_it,mmlu,3,0.8419109420452003,0.0620944282837325,0.3449317520698143
gemma2_9b_it,mmlu,4,0.8473931528306109,0.1408592526292235,0.2149250391586484
llama31_8b_instruct,arc_challenge,0,0.8541666666666666,0.0910493827160493,0.2091049382716048
llama31_8b_instruct,arc_challenge,1,0.8279320987654321,0.191358024691358,0.107253086419753
llama31_8b_instruct,arc_challenge,2,0.7885802469135802,0.1790123456790122,0.0578703703703703
llama31_8b_instruct,arc_challenge,3,0.8125,0.1049382716049383,0.070216049382716
llama31_8b_instruct,arc_challenge,4,0.8950617283950617,0.14429012345679,0.1003086419753086
llama31_8b_instruct,commonsenseqa,0,0.7313467313467313,0.2057057057057056,0.1168283668283668
llama31_8b_instruct,commonsenseqa,1,0.7867290367290367,0.2853430353430353,0.0776160776160777
llama31_8b_instruct,commonsenseqa,2,0.8078078078078078,0.2352159852159853,0.1294178794178794
llama31_8b_instruct,commonsenseqa,3,0.7994917994917994,0.2157542157542156,0.21021021021021
llama31_8b_instruct,commonsenseqa,4,0.7566990066990066,0.1902286902286901,0.0698775698775696
llama31_8b_instruct,hellaswag,0,0.7448474439280663,0.1557890482925844,0.0667306526571024
llama31_8b_instruct,hellaswag,1,0.7401495251565973,0.1480096989290765,0.061679127096383
llama31_8b_instruct,hellaswag,2,0.7527783390583956,0.1583148110729439,0.1330066680137402
llama31_8b_instruct,hellaswag,3,0.7433319862598505,0.1484138209739341,0.1484643362295413
llama31_8b_instruct,hellaswag,4,0.6994847443928067,0.0365225298040008,0.1740755708223884
llama31_8b_instruct,mmlu,0,0.8236506746626686,0.2335082458770614,0.0684032983508245
llama31_8b_instruct,mmlu,1,0.7979291604197901,0.2418478260869565,0.032561844077961
llama31_8b_instruct,mmlu,2,0.8315685907046476,0.3776236881559219,0.0540198650674661
llama31_8b_instruct,mmlu,3,0.8188718140929535,0.2966641679160419,0.0273613193403298
