model,dataset,seed,layer_group,cheap_auroc,hidden_only_auroc,cheap_plus_layer_auroc,gain_over_cheap
falcon3_7b_instruct,mmlu_all,7,final,0.811650214192587,0.8085770162041349,0.81695846526355,0.0053082510709629
falcon3_7b_instruct,mmlu_all,7,all,0.811650214192587,0.8090892158688769,0.8213354442168002,0.0096852300242131
falcon3_7b_instruct,mmlu_all,123,early,0.762292791953809,0.677872974483144,0.7357515365989942,-0.0265412553548147
falcon3_7b_instruct,mmlu_all,123,middle,0.762292791953809,0.7180108027565655,0.739010989010989,-0.0232818029428198
falcon3_7b_instruct,mmlu_all,123,late,0.762292791953809,0.7521419258707394,0.7509778357235986,-0.0113149562302103
falcon3_7b_instruct,mmlu_all,123,final,0.762292791953809,0.7586142670888434,0.7559601415533619,-0.006332650400447
falcon3_7b_instruct,mmlu_all,123,all,0.762292791953809,0.7547494878003352,0.7505587632706276,-0.0117340286831812
falcon3_7b_instruct,mmlu_all,777,early,0.7923263177500467,0.7032501396908176,0.792791953808903,0.0004656360588563
falcon3_7b_instruct,mmlu_all,777,middle,0.7923263177500467,0.7223877817098155,0.7853883404730863,-0.0069379772769604
falcon3_7b_instruct,mmlu_all,777,late,0.7923263177500467,0.7983795865151798,0.7999627491152914,0.0076364313652447
falcon3_7b_instruct,mmlu_all,777,final,0.7923263177500467,0.8027565654684299,0.8037344011920283,0.0114080834419816
falcon3_7b_instruct,mmlu_all,777,all,0.7923263177500467,0.7994039858446639,0.8042466008567704,0.0119202831067236
falcon3_7b_instruct,mmlu_all,2025,early,0.8183553734401192,0.6866734959955298,0.8089029614453344,-0.0094524119947848
falcon3_7b_instruct,mmlu_all,2025,middle,0.8183553734401192,0.712004097597318,0.7906500279381636,-0.0277053455019555
falcon3_7b_instruct,mmlu_all,2025,late,0.8183553734401192,0.8131868131868132,0.7990314769975787,-0.0193238964425405
falcon3_7b_instruct,mmlu_all,2025,final,0.8183553734401192,0.7896721922145652,0.7866455578319986,-0.0317098156081205
falcon3_7b_instruct,mmlu_all,2025,all,0.8183553734401192,0.796796423915068,0.7944216800149003,-0.0239336934252188
mistral7b_v03,arc_challenge,42,early,0.66,0.4928571428571428,0.5635714285714286,-0.0964285714285714
mistral7b_v03,arc_challenge,42,middle,0.66,0.6378571428571429,0.585,-0.075
mistral7b_v03,arc_challenge,42,late,0.66,0.605,0.5792857142857143,-0.0807142857142857
mistral7b_v03,arc_challenge,42,final,0.66,0.5942857142857143,0.555,-0.1049999999999999
mistral7b_v03,arc_challenge,42,all,0.66,0.5492857142857143,0.515,-0.145
mistral7b_v03,arc_challenge,7,early,0.7264285714285714,0.5414285714285714,0.6307142857142858,-0.0957142857142856
mistral7b_v03,arc_challenge,7,middle,0.7264285714285714,0.6592857142857143,0.6671428571428571,-0.0592857142857142
mistral7b_v03,arc_challenge,7,late,0.7264285714285714,0.7285714285714285,0.7071428571428572,-0.0192857142857142
mistral7b_v03,arc_challenge,7,final,0.7264285714285714,0.6828571428571428,0.6821428571428572,-0.0442857142857142
mistral7b_v03,arc_challenge,7,all,0.7264285714285714,0.7228571428571429,0.7064285714285715,-0.0199999999999999
mistral7b_v03,arc_challenge,123,early,0.615,0.6000000000000001,0.6542857142857144,0.0392857142857143
mistral7b_v03,arc_challenge,123,middle,0.615,0.5642857142857143,0.5492857142857143,-0.0657142857142857
mistral7b_v03,arc_challenge,123,late,0.615,0.5907142857142857,0.5921428571428571,-0.0228571428571429
mistral7b_v03,arc_challenge,123,final,0.615,0.5828571428571429,0.6128571428571428,-0.0021428571428572
mistral7b_v03,arc_challenge,123,all,0.615,0.5585714285714285,0.5778571428571428,-0.0371428571428571
mistral7b_v03,arc_challenge,777,early,0.7378571428571428,0.5742857142857143,0.6321428571428571,-0.1057142857142856
mistral7b_v03,arc_challenge,777,middle,0.7378571428571428,0.6864285714285715,0.7092857142857142,-0.0285714285714285
mistral7b_v03,arc_challenge,777,late,0.7378571428571428,0.6892857142857143,0.7164285714285715,-0.0214285714285712
mistral7b_v03,arc_challenge,777,final,0.7378571428571428,0.69,0.67,-0.0678571428571427
mistral7b_v03,arc_challenge,777,all,0.7378571428571428,0.6592857142857143,0.6735714285714286,-0.0642857142857141
mistral7b_v03,arc_challenge,2025,early,0.6364285714285715,0.4914285714285714,0.615,-0.0214285714285714
mistral7b_v03,arc_challenge,2025,middle,0.6364285714285715,0.7035714285714286,0.6964285714285714,0.0599999999999999
mistral7b_v03,arc_challenge,2025,late,0.6364285714285715,0.6157142857142857,0.5878571428571429,-0.0485714285714286
mistral7b_v03,arc_challenge,2025,final,0.6364285714285715,0.6107142857142858,0.5978571428571429,-0.0385714285714285
mistral7b_v03,arc_challenge,2025,all,0.6364285714285715,0.665,0.6421428571428571,0.0057142857142856
mistral7b_v03,commonsenseqa,42,early,0.7032054030874786,0.5541380789022299,0.6804245283018868,-0.0227808747855917
mistral7b_v03,commonsenseqa,42,middle,0.7032054030874786,0.6831046312178388,0.7101200686106347,0.0069146655231561
mistral7b_v03,commonsenseqa,42,late,0.7032054030874786,0.7279695540308748,0.7107632933104632,0.0075578902229845
mistral7b_v03,commonsenseqa,42,final,0.7032054030874786,0.725557461406518,0.7143010291595197,0.011095626072041
mistral7b_v03,commonsenseqa,42,all,0.7032054030874786,0.7167667238421955,0.6960227272727272,-0.0071826758147514
