model_key,dataset,seed,combined_auc,cheap_group_auc_drop,pca_hidden_group_auc_drop,importance_ratio_cheap_to_pca,n_total
olmo2_7b_instruct,hellaswag,7,0.709488981762918,0.16740754812563324,0.12459156534954413,1.3436507331344971,1000
olmo2_7b_instruct,hellaswag,123,0.7347074468085106,0.16566457700101317,0.12077634245187438,1.3716641325320287,1000
olmo2_7b_instruct,hellaswag,777,0.7327602583586625,0.10700829533941225,0.12814399696048626,0.8350628814206073,1000
olmo2_7b_instruct,hellaswag,2025,0.7274411094224924,0.08006268996960487,0.15857079533941235,0.5049018629043894,1000
olmo2_7b_instruct,mmlu_all,42,0.7612570145903479,0.1307250280583614,0.17776730265619153,0.7353716128013317,1000
olmo2_7b_instruct,mmlu_all,7,0.774006734006734,0.15364309764309766,0.18068537224092784,0.8503350090641424,1000
olmo2_7b_instruct,mmlu_all,123,0.7221997755331089,0.07002020202020201,0.1824526748971194,0.383771857876575,1000
olmo2_7b_instruct,mmlu_all,777,0.7369696969696969,0.1499289188178077,0.13874448185559293,1.0806117606376235,1000
olmo2_7b_instruct,mmlu_all,2025,0.7314478114478115,0.18442798353909465,0.11045117845117848,1.6697692693151802,1000
qwen25_7b,arc_challenge,42,0.728395061728395,0.1730681298582532,0.013214449016918076,13.096885812157753,299
qwen25_7b,arc_challenge,7,0.6556927297668038,0.14385002286236853,-0.008779149519890273,-16.385416668533043,299
qwen25_7b,arc_challenge,123,0.7503429355281206,0.11120256058527651,0.04814814814814803,2.309591642877011,299
qwen25_7b,arc_challenge,777,0.5733882030178326,0.12277091906721525,-0.05765889346136269,-2.1292624901241557,299
qwen25_7b,arc_challenge,2025,0.6447187928669411,0.25212620027434857,-0.06780978509373561,-3.7181389076745295,299
qwen25_7b,commonsenseqa,42,0.7573141853181575,0.17360272961067397,0.132681486008199,1.3084171336356438,1000
qwen25_7b,commonsenseqa,7,0.8058207929111603,0.1725663942148549,0.20139026812313793,0.8568755373446553,1000
qwen25_7b,commonsenseqa,123,0.8091054923229701,0.2136913401064346,0.15918060754207738,1.3424458129964452,1000
qwen25_7b,commonsenseqa,777,0.7631960889160492,0.11954778091818803,0.22875512438571027,0.5226015427575412,1000
qwen25_7b,commonsenseqa,2025,0.8102513176991827,0.26275303643724696,0.1473684210526316,1.782967032954934,1000
qwen25_7b,hellaswag,42,0.869095048377917,0.10211128276011608,0.17605225357075108,0.5800055420392562,1000
qwen25_7b,hellaswag,7,0.8881209854459712,0.125056237634496,0.1636474510122774,0.764180785341714,1000
qwen25_7b,hellaswag,123,0.8411252947394097,0.17624739138683362,0.08245927853212996,2.1373870172296265,1000
qwen25_7b,hellaswag,777,0.8638913732823807,0.08068677670271306,0.19504295742201272,0.413687209057839,1000
qwen25_7b,hellaswag,2025,0.842670135783397,0.1289508632138114,0.11825080629861509,1.0904861222433047,1000
qwen25_7b,mmlu_all,42,0.8261360718870346,0.27484296106118955,0.08161916987590923,3.367382460219618,1000
qwen25_7b,mmlu_all,7,0.8386649550706035,0.29027128797603774,0.04511253744116399,6.4343817580240685,1000
qwen25_7b,mmlu_all,123,0.8411296534017972,0.3017749251176723,0.08156097560975616,3.6999916057634135,1000
qwen25_7b,mmlu_all,777,0.8202310654685495,0.3156011981172444,0.044900299529311155,7.028933023134719,1000
qwen25_7b,mmlu_all,2025,0.8662387676508345,0.31629097133076606,0.06255027813436037,5.056587768423738,1000
