model_key,model_family,dataset,seed,feature_set,probe,n_total,n_test,auroc,bootstrap_mean,ci_low,ci_high,base_accuracy,pca_dim,pca_explained_variance
mistral7b_v03,Mistral,mmlu_all,777,cheap_plus_pca_hidden,hgb,1000,300,0.7495729258045154,0.7492925399691482,0.6953581487817284,0.8036418894652527,0.596,64.0,0.7983493804931641
mistral7b_v03,Mistral,mmlu_all,2025,direct_pmax,none,1000,300,0.7768364190405838,0.7765082782590953,0.7204670912044429,0.8301448713414314,,,
mistral7b_v03,Mistral,mmlu_all,2025,cheap_confidence_option,logreg,1000,300,0.7723348261692599,0.7713814303478569,0.7135987006161708,0.8293292628424207,0.596,,
mistral7b_v03,Mistral,mmlu_all,2025,cheap_confidence_option,mlp,1000,300,0.7335057020176371,0.7327114102825826,0.6712666896551724,0.7978741096866094,0.596,,
mistral7b_v03,Mistral,mmlu_all,2025,cheap_confidence_option,extratrees,1000,300,0.7559905812826075,0.7553332468003272,0.7015902729428936,0.8139523069287304,0.596,,
mistral7b_v03,Mistral,mmlu_all,2025,cheap_confidence_option,hgb,1000,300,0.7104206103698233,0.7101579003377981,0.6567902133043706,0.7747792868155957,0.596,,
mistral7b_v03,Mistral,mmlu_all,2025,hidden_summary_only,logreg,1000,300,0.773304400018468,0.7732075067634311,0.7172467230940173,0.8300067081538971,0.596,,
mistral7b_v03,Mistral,mmlu_all,2025,hidden_summary_only,mlp,1000,300,0.7631931298767257,0.7631419425752614,0.7084226900732475,0.8157804598264277,0.596,,
mistral7b_v03,Mistral,mmlu_all,2025,hidden_summary_only,extratrees,1000,300,0.7767209935823444,0.7772015768978878,0.7233868309613883,0.8349674498266623,0.596,,
mistral7b_v03,Mistral,mmlu_all,2025,hidden_summary_only,hgb,1000,300,0.6895516875201995,0.6906660925946035,0.6363772585122456,0.7559758748060346,0.596,,
mistral7b_v03,Mistral,mmlu_all,2025,cheap_plus_hidden_summary,logreg,1000,300,0.7869246040906783,0.7864776889932548,0.731016243614304,0.8355198978453754,0.596,,
mistral7b_v03,Mistral,mmlu_all,2025,cheap_plus_hidden_summary,mlp,1000,300,0.7715037628699387,0.7710918319014449,0.7169442811845462,0.8299640830338187,0.596,,
mistral7b_v03,Mistral,mmlu_all,2025,cheap_plus_hidden_summary,extratrees,1000,300,0.7769518444988227,0.7763826859909151,0.7183867671961651,0.8358467509707691,0.596,,
mistral7b_v03,Mistral,mmlu_all,2025,cheap_plus_hidden_summary,hgb,1000,300,0.7285193222217092,0.7288599731330624,0.6748362547329939,0.789798591511021,0.596,,
mistral7b_v03,Mistral,mmlu_all,2025,pca_hidden_embeddings,logreg,1000,300,0.7522507964356618,0.7529197404667487,0.7015277211115644,0.8090587121212119,0.596,64.0,0.800712525844574
mistral7b_v03,Mistral,mmlu_all,2025,pca_hidden_embeddings,mlp,1000,300,0.7602382381458055,0.7606569491398345,0.7071355461407032,0.818352295549017,0.596,64.0,0.800712525844574
mistral7b_v03,Mistral,mmlu_all,2025,pca_hidden_embeddings,extratrees,1000,300,0.7723809963525555,0.7741153711552814,0.7230995761594715,0.8268910351943138,0.596,64.0,0.800712525844574
mistral7b_v03,Mistral,mmlu_all,2025,pca_hidden_embeddings,hgb,1000,300,0.727919109838866,0.7301004151697922,0.6777930934065934,0.7863132949928436,0.596,64.0,0.800712525844574
mistral7b_v03,Mistral,mmlu_all,2025,cheap_plus_pca_hidden,logreg,1000,300,0.7492959047047416,0.7490966498589868,0.6985228645916618,0.8051124016626967,0.596,64.0,0.800712525844574
mistral7b_v03,Mistral,mmlu_all,2025,cheap_plus_pca_hidden,mlp,1000,300,0.7542361143173739,0.7536898535845697,0.6994552276536532,0.8134374999999999,0.596,64.0,0.800712525844574
mistral7b_v03,Mistral,mmlu_all,2025,cheap_plus_pca_hidden,extratrees,1000,300,0.7876633270234082,0.78825694979097,0.7398377648536111,0.8423812735165364,0.596,64.0,0.800712525844574
mistral7b_v03,Mistral,mmlu_all,2025,cheap_plus_pca_hidden,hgb,1000,300,0.7437093125259708,0.7440052173493003,0.6928969956538606,0.7980692596116206,0.596,64.0,0.800712525844574
olmo2_7b_instruct,OLMo,arc_challenge,42,direct_pmax,none,299,90,0.8169191919191919,0.8141753338419727,0.7150746898405849,0.9093544137022398,,,
olmo2_7b_instruct,OLMo,arc_challenge,42,cheap_confidence_option,logreg,299,90,0.8377525252525253,0.8361378013143524,0.7402067501550869,0.925945054945055,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,42,cheap_confidence_option,mlp,299,90,0.5606060606060606,0.5577607050249078,0.4242467567835215,0.6935661047363066,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,42,cheap_confidence_option,extratrees,299,90,0.8434343434343435,0.8418611076061072,0.7351773489637161,0.9346085799235979,0.7357859531772575,,
