model_key,dataset,seed,pca_dim,cheap_auc,cheap_plus_pca_auc,gain,pca_explained_variance,n_total
deepseek_r1_qwen7b,mmlu_all,42,64,0.5493497382764018,0.5054233446656953,-0.04392639361070649,0.8556346893310547,1000
deepseek_r1_qwen7b,mmlu_all,42,128,0.5493497382764018,0.5038044358102638,-0.04554530246613797,0.91167151927948,1000
deepseek_r1_qwen7b,mmlu_all,42,256,0.5493497382764018,0.5841562786681777,0.034806540391775886,0.9573363065719604,1000
deepseek_r1_qwen7b,mmlu_all,7,8,0.5747666073066752,0.5724461712805569,-0.002320436026118311,0.4839709401130676,1000
deepseek_r1_qwen7b,mmlu_all,7,16,0.5747666073066752,0.5746586800496466,-0.00010792725702857275,0.6250867247581482,1000
deepseek_r1_qwen7b,mmlu_all,7,32,0.5747666073066752,0.5442231935675355,-0.030543413739139713,0.7716103792190552,1000
deepseek_r1_qwen7b,mmlu_all,7,64,0.5747666073066752,0.5561491554692137,-0.01861745183746144,0.8524825572967529,1000
deepseek_r1_qwen7b,mmlu_all,7,128,0.5747666073066752,0.5854514057525229,0.010684798445847687,0.9088575839996338,1000
deepseek_r1_qwen7b,mmlu_all,7,256,0.5747666073066752,0.61362041983703,0.0388538125303548,0.9556606411933899,1000
deepseek_r1_qwen7b,mmlu_all,123,8,0.6413577248934219,0.5991042037666613,-0.04225352112676062,0.48865988850593567,1000
deepseek_r1_qwen7b,mmlu_all,123,16,0.6413577248934219,0.5964599859694566,-0.044897738923965314,0.6230677366256714,1000
deepseek_r1_qwen7b,mmlu_all,123,32,0.6413577248934219,0.5691004263126653,-0.07225729858075658,0.7680373191833496,1000
deepseek_r1_qwen7b,mmlu_all,123,64,0.6413577248934219,0.5506988289892611,-0.09065889590416076,0.8491355180740356,1000
deepseek_r1_qwen7b,mmlu_all,123,128,0.6413577248934219,0.5463817387081107,-0.09497598618531122,0.9061774015426636,1000
deepseek_r1_qwen7b,mmlu_all,123,256,0.6413577248934219,0.5546381738708112,-0.08671955102261075,0.9539178609848022,1000
deepseek_r1_qwen7b,mmlu_all,777,8,0.5282499595272785,0.524904214559387,-0.0033457449678915285,0.4808352589607239,1000
deepseek_r1_qwen7b,mmlu_all,777,16,0.5282499595272785,0.4965193459608224,-0.03173061356645607,0.6120781898498535,1000
deepseek_r1_qwen7b,mmlu_all,777,32,0.5282499595272785,0.5022394905833468,-0.026010468943931664,0.7675947546958923,1000
deepseek_r1_qwen7b,mmlu_all,777,64,0.5282499595272785,0.44811397118342233,-0.08013598834385616,0.8543839454650879,1000
deepseek_r1_qwen7b,mmlu_all,777,128,0.5282499595272785,0.42744590146241435,-0.10080405806486414,0.9102595448493958,1000
deepseek_r1_qwen7b,mmlu_all,777,256,0.5282499595272785,0.5119529437159354,-0.01629701581134313,0.9562984704971313,1000
deepseek_r1_qwen7b,mmlu_all,2025,8,0.5614375910636231,0.5504290108466893,-0.01100858021693385,0.4809793531894684,1000
deepseek_r1_qwen7b,mmlu_all,2025,16,0.5614375910636231,0.5607900275214506,-0.0006475635421725467,0.62384033203125,1000
deepseek_r1_qwen7b,mmlu_all,2025,32,0.5614375910636231,0.539204576115698,-0.022233014947925067,0.7699070572853088,1000
deepseek_r1_qwen7b,mmlu_all,2025,64,0.5614375910636231,0.5430899573687334,-0.018347633694889676,0.8509899973869324,1000
deepseek_r1_qwen7b,mmlu_all,2025,128,0.5614375910636231,0.5644595542604285,0.003021963196805366,0.9073094129562378,1000
deepseek_r1_qwen7b,mmlu_all,2025,256,0.5614375910636231,0.5761156980195348,0.014678106955911652,0.9544791579246521,1000
falcon3_7b_instruct,arc_challenge,42,8,0.7751111111111111,0.7902222222222223,0.015111111111111186,0.3521766662597656,299
falcon3_7b_instruct,arc_challenge,42,16,0.7751111111111111,0.7608888888888887,-0.014222222222222358,0.4949840307235718,299
falcon3_7b_instruct,arc_challenge,42,32,0.7751111111111111,0.7546666666666667,-0.020444444444444376,0.6250129342079163,299
falcon3_7b_instruct,arc_challenge,42,64,0.7751111111111111,0.7102222222222222,-0.06488888888888888,0.7633883357048035,299
falcon3_7b_instruct,arc_challenge,42,128,0.7751111111111111,0.7244444444444444,-0.05066666666666664,0.9082736968994141,299
falcon3_7b_instruct,arc_challenge,42,256,0.7751111111111111,0.7662222222222222,-0.008888888888888835,0.9999999403953552,299
falcon3_7b_instruct,arc_challenge,7,8,0.8248888888888889,0.8293333333333334,0.004444444444444473,0.3524746298789978,299
falcon3_7b_instruct,arc_challenge,7,16,0.8248888888888889,0.8186666666666667,-0.00622222222222224,0.4928983449935913,299
falcon3_7b_instruct,arc_challenge,7,32,0.8248888888888889,0.8328888888888889,0.008000000000000007,0.6227774620056152,299
falcon3_7b_instruct,arc_challenge,7,64,0.8248888888888889,0.8577777777777779,0.03288888888888897,0.7621107697486877,299
falcon3_7b_instruct,arc_challenge,7,128,0.8248888888888889,0.8293333333333334,0.004444444444444473,0.9080603718757629,299
falcon3_7b_instruct,arc_challenge,7,256,0.8248888888888889,0.8497777777777779,0.02488888888888896,1.0,299
falcon3_7b_instruct,arc_challenge,123,8,0.8622222222222222,0.8799999999999999,0.01777777777777767,0.3488672971725464,299
falcon3_7b_instruct,arc_challenge,123,16,0.8622222222222222,0.8764444444444444,0.014222222222222136,0.49128714203834534,299
falcon3_7b_instruct,arc_challenge,123,32,0.8622222222222222,0.8302222222222223,-0.03199999999999992,0.6229395270347595,299
falcon3_7b_instruct,arc_challenge,123,64,0.8622222222222222,0.8,-0.06222222222222218,0.7618995308876038,299
falcon3_7b_instruct,arc_challenge,123,128,0.8622222222222222,0.7857777777777777,-0.07644444444444454,0.9073529243469238,299
falcon3_7b_instruct,arc_challenge,123,256,0.8622222222222222,0.8231111111111111,-0.039111111111111097,1.0,299
falcon3_7b_instruct,arc_challenge,777,8,0.8079999999999999,0.8222222222222222,0.014222222222222247,0.35703644156455994,299
falcon3_7b_instruct,arc_challenge,777,16,0.8079999999999999,0.8195555555555556,0.011555555555555652,0.5010319352149963,299
falcon3_7b_instruct,arc_challenge,777,32,0.8079999999999999,0.8337777777777778,0.0257777777777779,0.6287732720375061,299
falcon3_7b_instruct,arc_challenge,777,64,0.8079999999999999,0.8302222222222222,0.022222222222222254,0.7660623788833618,299
falcon3_7b_instruct,arc_challenge,777,128,0.8079999999999999,0.8035555555555556,-0.004444444444444362,0.9095370173454285,299
falcon3_7b_instruct,arc_challenge,777,256,0.8079999999999999,0.7946666666666666,-0.013333333333333308,1.0,299
falcon3_7b_instruct,arc_challenge,2025,8,0.8488888888888889,0.8355555555555556,-0.013333333333333308,0.3489471971988678,299
