model_key,dataset,signal,seed,AURC,E_AURC,AURC_opt,risk_at_80cov,retained_acc_at_80cov,risk_at_60cov,retained_acc_at_60cov,risk_at_40cov,retained_acc_at_40cov,failure_capture_at_20abstain,failure_capture_at_40abstain,failure_capture_at_60abstain
deepseek_r1_qwen7b,commonsenseqa,pca_hidden_embeddings__extratrees,594.8,0.764110269957716,0.32094983224391416,0.44316043771380176,0.7675,0.2325,0.7677777777777778,0.2322222222222222,0.7716666666666667,0.22833333333333333,0.20944206008583693,0.40686695278969953,0.6025751072961374
deepseek_r1_qwen7b,commonsenseqa,pca_hidden_embeddings__hgb,594.8,0.770563890773458,0.32740345305965624,0.44316043771380176,0.77,0.22999999999999998,0.7644444444444445,0.23555555555555552,0.7766666666666666,0.22333333333333333,0.20686695278969958,0.4094420600858369,0.6
deepseek_r1_qwen7b,commonsenseqa,pca_hidden_embeddings__logreg,594.8,0.7562518612924707,0.3130914235786689,0.44316043771380176,0.7725,0.22749999999999998,0.7722222222222223,0.22777777777777777,0.7566666666666666,0.24333333333333335,0.20429184549356222,0.4034334763948498,0.6103004291845494
deepseek_r1_qwen7b,commonsenseqa,pca_hidden_embeddings__mlp,594.8,0.7686662797960343,0.32550584208223254,0.44316043771380176,0.7841666666666667,0.21583333333333332,0.7744444444444445,0.22555555555555556,0.7716666666666667,0.22833333333333333,0.192274678111588,0.4017167381974249,0.6025751072961374
deepseek_r1_qwen7b,hellaswag,cheap_confidence_option__extratrees,594.8,0.7389906306644206,0.3434825551168882,0.3955080755475324,0.745,0.255,0.7488888888888889,0.2511111111111111,0.75,0.25,0.19820627802690582,0.3955156950672646,0.5964125560538116
deepseek_r1_qwen7b,hellaswag,cheap_confidence_option__hgb,594.8,0.7326447396138933,0.33713666406636084,0.3955080755475324,0.7391666666666666,0.26083333333333336,0.73,0.27,0.7216666666666667,0.2783333333333333,0.20448430493273545,0.41076233183856503,0.611659192825112
deepseek_r1_qwen7b,hellaswag,cheap_confidence_option__logreg,594.8,0.7328610578547801,0.33735298230724775,0.3955080755475324,0.7308333333333333,0.26916666666666667,0.7244444444444444,0.27555555555555555,0.7333333333333333,0.2666666666666667,0.21345291479820627,0.41524663677130047,0.6053811659192825
deepseek_r1_qwen7b,hellaswag,cheap_confidence_option__mlp,594.8,0.7354725578316196,0.3399644822840872,0.3955080755475324,0.7366666666666666,0.26333333333333336,0.7411111111111112,0.25888888888888884,0.7483333333333333,0.25166666666666665,0.2071748878923767,0.40179372197309415,0.5973094170403588
deepseek_r1_qwen7b,hellaswag,cheap_plus_hidden_summary__extratrees,594.8,0.7358548432535029,0.3403467677059705,0.3955080755475324,0.7458333333333333,0.25416666666666665,0.7411111111111112,0.2588888888888889,0.7283333333333333,0.27166666666666667,0.19730941704035873,0.40179372197309415,0.6080717488789238
deepseek_r1_qwen7b,hellaswag,cheap_plus_hidden_summary__hgb,594.8,0.7413417488402855,0.34583367329275305,0.3955080755475324,0.7466666666666667,0.2533333333333333,0.7577777777777778,0.24222222222222226,0.7516666666666667,0.24833333333333335,0.19641255605381164,0.3883408071748879,0.5955156950672646
deepseek_r1_qwen7b,hellaswag,cheap_plus_hidden_summary__logreg,594.8,0.6886587116369,0.29315063608936753,0.3955080755475324,0.7266666666666667,0.2733333333333333,0.7122222222222222,0.2877777777777778,0.6849999999999999,0.31500000000000006,0.2179372197309417,0.42511210762331836,0.631390134529148
