model_key,dataset,feature_set,probe,count,mean_auroc,std_auroc,mean_ci_low,mean_ci_high
deepseek_r1_qwen7b,mmlu_all,pca_hidden_embeddings,logreg,5,0.4790567157735686,0.04141328967917786,0.40718108020369403,0.5555652921282703
deepseek_r1_qwen7b,mmlu_all,pca_hidden_embeddings,mlp,5,0.4965625168636339,0.00975946805330014,0.4226168466505581,0.5669558268535076
falcon3_7b_instruct,arc_challenge,cheap_confidence_option,extratrees,5,0.8252444444444444,0.04323967085677771,0.6743381407147376,0.9319515345891556
falcon3_7b_instruct,arc_challenge,cheap_confidence_option,hgb,5,0.8211555555555556,0.06418922643344017,0.6907938371103107,0.9235845117377479
falcon3_7b_instruct,arc_challenge,cheap_confidence_option,logreg,5,0.8238222222222221,0.034377138541783654,0.6903871262250763,0.9251557472724988
falcon3_7b_instruct,arc_challenge,cheap_confidence_option,mlp,5,0.653688888888889,0.16185663523739272,0.49454384309509314,0.7847199845033306
falcon3_7b_instruct,arc_challenge,cheap_plus_hidden_summary,extratrees,5,0.8152888888888888,0.03832750358246928,0.6608099506428239,0.9290175808515766
falcon3_7b_instruct,arc_challenge,cheap_plus_hidden_summary,hgb,5,0.7776,0.04651785798068427,0.6222535295621043,0.8990564218896026
falcon3_7b_instruct,arc_challenge,cheap_plus_hidden_summary,logreg,5,0.7792,0.05064950976570428,0.6295522044091811,0.9022507870781336
falcon3_7b_instruct,arc_challenge,cheap_plus_hidden_summary,mlp,5,0.6741333333333334,0.1444938035323981,0.5137451911414338,0.8162635431847948
falcon3_7b_instruct,arc_challenge,cheap_plus_pca_hidden,extratrees,5,0.8334222222222222,0.040381391631832846,0.6819840008673048,0.9397862874335665
falcon3_7b_instruct,arc_challenge,cheap_plus_pca_hidden,hgb,5,0.7948444444444445,0.06832139010353205,0.6407236033017785,0.9116609693474258
falcon3_7b_instruct,arc_challenge,cheap_plus_pca_hidden,logreg,5,0.8199111111111111,0.07175981887475939,0.669949231614187,0.9328952678317597
