model_key,model_family,dataset,seed,signal,AURC,E_AURC,AURC_opt,risk_at_80cov,retained_acc_at_80cov,risk_at_60cov,retained_acc_at_60cov,risk_at_40cov,retained_acc_at_40cov,failure_capture_at_20abstain,failure_capture_at_40abstain,failure_capture_at_60abstain
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,pca_hidden_embeddings__extratrees,0.6905351022380709,0.373941628377874,0.31659347386019693,0.7083333333333334,0.29166666666666663,0.7222222222222222,0.2777777777777778,0.7222222222222222,0.2777777777777778,0.16393442622950818,0.36065573770491804,0.5737704918032787
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,pca_hidden_embeddings__hgb,0.6943826598356931,0.3777891859754962,0.31659347386019693,0.6944444444444444,0.3055555555555556,0.6481481481481481,0.35185185185185186,0.6388888888888888,0.36111111111111116,0.18032786885245902,0.4262295081967213,0.6229508196721312
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_plus_pca_hidden__logreg,0.6281537318791821,0.3115602580189852,0.31659347386019693,0.7222222222222222,0.2777777777777778,0.6851851851851852,0.31481481481481477,0.6666666666666666,0.33333333333333337,0.14754098360655737,0.39344262295081966,0.6065573770491803
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_plus_pca_hidden__mlp,0.704673676861105,0.3880802030009081,0.31659347386019693,0.6527777777777778,0.3472222222222222,0.6666666666666666,0.33333333333333337,0.75,0.25,0.22950819672131148,0.4098360655737705,0.5573770491803278
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_plus_pca_hidden__extratrees,0.6144493726647878,0.2978558988045909,0.31659347386019693,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.5833333333333334,0.41666666666666663,0.21311475409836064,0.4098360655737705,0.6557377049180327
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,42,cheap_plus_pca_hidden__hgb,0.6179409436361528,0.3013474697759559,0.31659347386019693,0.6666666666666666,0.33333333333333337,0.6111111111111112,0.38888888888888884,0.5833333333333334,0.41666666666666663,0.21311475409836064,0.45901639344262296,0.6557377049180327
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,direct_pmax,0.5678870624801368,0.25129358861993983,0.31659347386019693,0.6527777777777778,0.3472222222222222,0.5925925925925926,0.40740740740740744,0.5277777777777778,0.4722222222222222,0.22950819672131148,0.47540983606557374,0.6885245901639344
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,cheap_confidence_option__logreg,0.5362198605042822,0.21962638664408524,0.31659347386019693,0.625,0.375,0.5925925925925926,0.40740740740740744,0.5,0.5,0.26229508196721313,0.47540983606557374,0.7049180327868853
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,cheap_confidence_option__mlp,0.7044303430360703,0.3878368691758734,0.31659347386019693,0.6527777777777778,0.3472222222222222,0.6666666666666666,0.33333333333333337,0.6944444444444444,0.3055555555555556,0.22950819672131148,0.4098360655737705,0.5901639344262295
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,cheap_confidence_option__extratrees,0.5431152014669335,0.22652172760673656,0.31659347386019693,0.6388888888888888,0.36111111111111116,0.5740740740740741,0.42592592592592593,0.4722222222222222,0.5277777777777778,0.2459016393442623,0.4918032786885246,0.7213114754098361
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,cheap_confidence_option__hgb,0.5918604980643694,0.27526702420417243,0.31659347386019693,0.6388888888888888,0.36111111111111116,0.6851851851851852,0.31481481481481477,0.6666666666666666,0.33333333333333337,0.2459016393442623,0.39344262295081966,0.6065573770491803
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,hidden_summary_only__logreg,0.7198229921873663,0.4032295183271694,0.31659347386019693,0.6805555555555556,0.3194444444444444,0.7037037037037037,0.2962962962962963,0.7222222222222222,0.2777777777777778,0.19672131147540983,0.3770491803278688,0.5737704918032787
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,hidden_summary_only__mlp,0.6456440232060717,0.3290505493458748,0.31659347386019693,0.7083333333333334,0.29166666666666663,0.6851851851851852,0.31481481481481477,0.6666666666666666,0.33333333333333337,0.16393442622950818,0.39344262295081966,0.6065573770491803
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,hidden_summary_only__extratrees,0.7094618201872674,0.3928683463270705,0.31659347386019693,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6944444444444444,0.3055555555555556,0.21311475409836064,0.4098360655737705,0.5901639344262295
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,hidden_summary_only__hgb,0.7196594665220329,0.403065992661836,0.31659347386019693,0.6944444444444444,0.3055555555555556,0.7222222222222222,0.2777777777777778,0.7222222222222222,0.2777777777777778,0.18032786885245902,0.36065573770491804,0.5737704918032787
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,cheap_plus_hidden_summary__logreg,0.5648051818879994,0.2482117080278025,0.31659347386019693,0.6527777777777778,0.3472222222222222,0.6111111111111112,0.38888888888888884,0.5555555555555556,0.4444444444444444,0.22950819672131148,0.45901639344262296,0.6721311475409836
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,cheap_plus_hidden_summary__mlp,0.5590346370380106,0.24244116317781367,0.31659347386019693,0.6666666666666666,0.33333333333333337,0.6111111111111112,0.38888888888888884,0.5555555555555556,0.4444444444444444,0.21311475409836064,0.45901639344262296,0.6721311475409836
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,cheap_plus_hidden_summary__extratrees,0.5562726112266839,0.239679137366487,0.31659347386019693,0.625,0.375,0.5925925925925926,0.40740740740740744,0.5833333333333334,0.41666666666666663,0.26229508196721313,0.47540983606557374,0.6557377049180327
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,cheap_plus_hidden_summary__hgb,0.6292701387609434,0.31267666490074647,0.31659347386019693,0.6666666666666666,0.33333333333333337,0.6296296296296297,0.37037037037037035,0.6388888888888888,0.36111111111111116,0.21311475409836064,0.4426229508196721,0.6229508196721312
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,pca_hidden_embeddings__logreg,0.721466980764883,0.4048735069046861,0.31659347386019693,0.7222222222222222,0.2777777777777778,0.7222222222222222,0.2777777777777778,0.7222222222222222,0.2777777777777778,0.14754098360655737,0.36065573770491804,0.5737704918032787
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,pca_hidden_embeddings__mlp,0.7255181035400674,0.4089246296798705,0.31659347386019693,0.7083333333333334,0.29166666666666663,0.6851851851851852,0.31481481481481477,0.6944444444444444,0.3055555555555556,0.16393442622950818,0.39344262295081966,0.5901639344262295
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,pca_hidden_embeddings__extratrees,0.7087520483439341,0.3921585744837372,0.31659347386019693,0.6805555555555556,0.3194444444444444,0.7407407407407407,0.2592592592592593,0.75,0.25,0.19672131147540983,0.3442622950819672,0.5573770491803278
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,pca_hidden_embeddings__hgb,0.7589446366238916,0.4423511627636946,0.31659347386019693,0.6805555555555556,0.3194444444444444,0.7037037037037037,0.2962962962962963,0.7777777777777778,0.2222222222222222,0.19672131147540983,0.3770491803278688,0.5409836065573771
deepseek_r1_qwen7b,DeepSeek/Qwen-distill,arc_challenge,7,cheap_plus_pca_hidden__logreg,0.611485616500424,0.29489214264022706,0.31659347386019693,0.6527777777777778,0.3472222222222222,0.6481481481481481,0.35185185185185186,0.6666666666666666,0.33333333333333337,0.22950819672131148,0.4262295081967213,0.6065573770491803
