model_key,dataset,seed,layer,cheap_auc,hidden_only_auc,cheap_plus_layer_auc,gain_over_cheap,pca_explained_variance,n_total
deepseek_r1_qwen7b,mmlu_all,2025,early,0.5614375910636231,0.583778533268577,0.5859370784091522,0.024499487345529092,0.8893191814422607,1000
deepseek_r1_qwen7b,mmlu_all,2025,middle,0.5614375910636231,0.5197237062220064,0.529167341212023,-0.0322702498516001,0.8652764558792114,1000
deepseek_r1_qwen7b,mmlu_all,2025,late,0.5614375910636231,0.5133559980573094,0.5357509038907775,-0.025686687172845613,0.8545863032341003,1000
deepseek_r1_qwen7b,mmlu_all,2025,final,0.5614375910636231,0.5313798499811127,0.5657546813447737,0.004317090281150571,0.8882969617843628,1000
deepseek_r1_qwen7b,mmlu_all,2025,all,0.5614375910636231,0.5236090874750418,0.5430899573687334,-0.018347633694889676,0.8509899973869324,1000
falcon3_7b_instruct,arc_challenge,42,early,0.7751111111111111,0.46311111111111114,0.7022222222222222,-0.07288888888888889,0.8818828463554382,299
falcon3_7b_instruct,arc_challenge,42,middle,0.7751111111111111,0.4017777777777778,0.7226666666666667,-0.052444444444444405,0.8449949622154236,299
falcon3_7b_instruct,arc_challenge,42,late,0.7751111111111111,0.6826666666666668,0.7297777777777777,-0.04533333333333334,0.8232022523880005,299
falcon3_7b_instruct,arc_challenge,42,final,0.7751111111111111,0.6977777777777778,0.7146666666666667,-0.06044444444444441,0.7552484273910522,299
falcon3_7b_instruct,arc_challenge,42,all,0.7751111111111111,0.6782222222222223,0.7102222222222222,-0.06488888888888888,0.7633883357048035,299
falcon3_7b_instruct,arc_challenge,7,early,0.8248888888888889,0.6160000000000001,0.7928888888888889,-0.03200000000000003,0.8810403347015381,299
falcon3_7b_instruct,arc_challenge,7,middle,0.8248888888888889,0.5946666666666667,0.8204444444444445,-0.004444444444444362,0.8441675901412964,299
falcon3_7b_instruct,arc_challenge,7,late,0.8248888888888889,0.8213333333333335,0.8648888888888888,0.039999999999999925,0.8219259977340698,299
falcon3_7b_instruct,arc_challenge,7,final,0.8248888888888889,0.7537777777777778,0.8186666666666668,-0.006222222222222129,0.7538665533065796,299
falcon3_7b_instruct,arc_challenge,7,all,0.8248888888888889,0.8142222222222222,0.8577777777777779,0.03288888888888897,0.7621107697486877,299
falcon3_7b_instruct,arc_challenge,123,early,0.8622222222222222,0.6702222222222223,0.832888888888889,-0.02933333333333321,0.8797149658203125,299
falcon3_7b_instruct,arc_challenge,123,middle,0.8622222222222222,0.5795555555555556,0.8017777777777777,-0.06044444444444452,0.8426187038421631,299
falcon3_7b_instruct,arc_challenge,123,late,0.8622222222222222,0.7697777777777778,0.7946666666666667,-0.06755555555555548,0.8206321001052856,299
falcon3_7b_instruct,arc_challenge,123,final,0.8622222222222222,0.8222222222222223,0.8711111111111112,0.008888888888888946,0.7566730976104736,299
falcon3_7b_instruct,arc_challenge,123,all,0.8622222222222222,0.760888888888889,0.8,-0.06222222222222218,0.7618995308876038,299
falcon3_7b_instruct,arc_challenge,777,early,0.8079999999999999,0.632,0.7991111111111111,-0.008888888888888835,0.8831020593643188,299
falcon3_7b_instruct,arc_challenge,777,middle,0.8079999999999999,0.5146666666666667,0.8151111111111111,0.007111111111111179,0.8453645706176758,299
falcon3_7b_instruct,arc_challenge,777,late,0.8079999999999999,0.7751111111111111,0.8302222222222222,0.022222222222222254,0.8247339725494385,299
falcon3_7b_instruct,arc_challenge,777,final,0.8079999999999999,0.8106666666666666,0.824,0.016000000000000014,0.7599900960922241,299
falcon3_7b_instruct,arc_challenge,777,all,0.8079999999999999,0.8506666666666667,0.8302222222222222,0.022222222222222254,0.7660623788833618,299
falcon3_7b_instruct,arc_challenge,2025,early,0.8488888888888889,0.6471111111111112,0.8337777777777777,-0.015111111111111186,0.8812990784645081,299
falcon3_7b_instruct,arc_challenge,2025,middle,0.8488888888888889,0.5555555555555555,0.8266666666666667,-0.022222222222222254,0.8441329002380371,299
falcon3_7b_instruct,arc_challenge,2025,late,0.8488888888888889,0.8613333333333334,0.8586666666666667,0.009777777777777774,0.8221486806869507,299
falcon3_7b_instruct,arc_challenge,2025,final,0.8488888888888889,0.8435555555555556,0.8453333333333333,-0.003555555555555645,0.7574268579483032,299
falcon3_7b_instruct,arc_challenge,2025,all,0.8488888888888889,0.8995555555555557,0.9013333333333333,0.052444444444444405,0.762706995010376,299
falcon3_7b_instruct,commonsenseqa,42,early,0.8425925925925927,0.56002331002331,0.7880082880082881,-0.05458430458430452,0.7952174544334412,1000
falcon3_7b_instruct,commonsenseqa,42,middle,0.8425925925925927,0.5612535612535613,0.7854830354830354,-0.05710955710955723,0.7422796487808228,1000
falcon3_7b_instruct,commonsenseqa,42,late,0.8425925925925927,0.7585470085470085,0.8156565656565656,-0.026936026936027035,0.7562117576599121,1000
falcon3_7b_instruct,commonsenseqa,42,final,0.8425925925925927,0.778166278166278,0.8164335664335665,-0.02615902615902621,0.6222092509269714,1000
falcon3_7b_instruct,commonsenseqa,42,all,0.8425925925925927,0.7718855218855218,0.8297073297073297,-0.012885262885262927,0.6414141654968262,1000
falcon3_7b_instruct,commonsenseqa,7,early,0.8172105672105672,0.5792540792540792,0.772986272986273,-0.04422429422429419,0.7970112562179565,1000
falcon3_7b_instruct,commonsenseqa,7,middle,0.8172105672105672,0.5597643097643098,0.7983035483035483,-0.018907018907018847,0.7437109351158142,1000
falcon3_7b_instruct,commonsenseqa,7,late,0.8172105672105672,0.7623025123025123,0.8044548044548044,-0.012755762755762734,0.7570531368255615,1000
falcon3_7b_instruct,commonsenseqa,7,final,0.8172105672105672,0.7946127946127944,0.8169515669515669,-0.0002590002590002749,0.6211392283439636,1000
falcon3_7b_instruct,commonsenseqa,7,all,0.8172105672105672,0.7457912457912458,0.8029655529655529,-0.014245014245014231,0.6423068046569824,1000
falcon3_7b_instruct,commonsenseqa,123,early,0.7661227661227662,0.5747863247863247,0.7685832685832688,0.002460502460502556,0.7949609756469727,1000
falcon3_7b_instruct,commonsenseqa,123,middle,0.7661227661227662,0.5675343175343175,0.7546620046620047,-0.01146076146076147,0.7421083450317383,1000
falcon3_7b_instruct,commonsenseqa,123,late,0.7661227661227662,0.7305749805749807,0.7527842527842528,-0.013338513338513436,0.7584119439125061,1000
falcon3_7b_instruct,commonsenseqa,123,final,0.7661227661227662,0.7452084952084951,0.7639860139860141,-0.002136752136752129,0.6208840608596802,1000
falcon3_7b_instruct,commonsenseqa,123,all,0.7661227661227662,0.747021497021497,0.7850945350945351,0.018971768971768888,0.6411161422729492,1000
falcon3_7b_instruct,commonsenseqa,777,early,0.8517871017871017,0.5775705775705776,0.8146205646205648,-0.03716653716653695,0.7954760193824768,1000
falcon3_7b_instruct,commonsenseqa,777,middle,0.8517871017871017,0.6098161098161099,0.8401320901320901,-0.011655011655011593,0.7420281171798706,1000
falcon3_7b_instruct,commonsenseqa,777,late,0.8517871017871017,0.7476042476042477,0.7669645169645171,-0.08482258482258465,0.7554726600646973,1000
falcon3_7b_instruct,commonsenseqa,777,final,0.8517871017871017,0.7994042994042994,0.8102823102823102,-0.04150479150479147,0.6219884753227234,1000
falcon3_7b_instruct,commonsenseqa,777,all,0.8517871017871017,0.8054260554260555,0.8295130795130795,-0.022274022274022198,0.6412548422813416,1000
falcon3_7b_instruct,commonsenseqa,2025,early,0.8431105931105932,0.49715099715099714,0.7781662781662781,-0.06494431494431507,0.7951304316520691,1000
falcon3_7b_instruct,commonsenseqa,2025,middle,0.8431105931105932,0.5515410515410515,0.8011525511525511,-0.04195804195804209,0.7422082424163818,1000
falcon3_7b_instruct,commonsenseqa,2025,late,0.8431105931105932,0.7564750064750065,0.8071095571095572,-0.03600103600103599,0.7568461894989014,1000
falcon3_7b_instruct,commonsenseqa,2025,final,0.8431105931105932,0.754079254079254,0.785029785029785,-0.05808080808080818,0.6225593090057373,1000
falcon3_7b_instruct,commonsenseqa,2025,all,0.8431105931105932,0.7543382543382543,0.8138435638435638,-0.0292670292670294,0.641816258430481,1000
falcon3_7b_instruct,hellaswag,42,early,0.7894736842105263,0.57328216374269,0.7677266081871345,-0.021747076023391876,0.8645893335342407,1000
falcon3_7b_instruct,hellaswag,42,middle,0.7894736842105263,0.5676169590643274,0.7610867446393762,-0.028386939571150127,0.8290328979492188,1000
falcon3_7b_instruct,hellaswag,42,late,0.7894736842105263,0.7710769980506822,0.8066520467836257,0.01717836257309935,0.8220658302307129,1000
falcon3_7b_instruct,hellaswag,42,final,0.7894736842105263,0.7739400584795321,0.790204678362573,0.0007309941520466934,0.7727367877960205,1000
falcon3_7b_instruct,hellaswag,42,all,0.7894736842105263,0.7466496101364523,0.8023269980506823,0.012853313840155978,0.7510683536529541,1000
falcon3_7b_instruct,hellaswag,7,early,0.8515472709551657,0.6179946393762182,0.8506335282651072,-0.0009137426900585055,0.8644847869873047,1000
falcon3_7b_instruct,hellaswag,7,middle,0.8515472709551657,0.5740131578947368,0.8076267056530214,-0.04392056530214428,0.8307651281356812,1000
falcon3_7b_instruct,hellaswag,7,late,0.8515472709551657,0.7972100389863548,0.8392422027290448,-0.012305068226120874,0.8213847875595093,1000
falcon3_7b_instruct,hellaswag,7,final,0.8515472709551657,0.8153021442495126,0.8410087719298246,-0.010538499025341097,0.77398681640625,1000
falcon3_7b_instruct,hellaswag,7,all,0.8515472709551657,0.8003776803118907,0.8557504873294347,0.004203216374269014,0.7517713308334351,1000
falcon3_7b_instruct,hellaswag,123,early,0.7927022417153996,0.6456505847953216,0.7875243664717348,-0.0051778752436647535,0.8645068407058716,1000
falcon3_7b_instruct,hellaswag,123,middle,0.7927022417153996,0.5665204678362573,0.7831384015594541,-0.009563840155945469,0.829609215259552,1000
falcon3_7b_instruct,hellaswag,123,late,0.7927022417153996,0.7428118908382065,0.7803971734892787,-0.012305068226120874,0.8209133148193359,1000
falcon3_7b_instruct,hellaswag,123,final,0.7927022417153996,0.7613913255360624,0.792763157894737,6.091617933734472e-05,0.773098886013031,1000
