model_key,dataset,sample_size,seed,feature_set,auroc,pca_explained_variance
falcon3_7b_instruct,commonsenseqa,500,123,cheap_plus_pca_hidden,0.7979797979797978,0.6835775375366211
falcon3_7b_instruct,commonsenseqa,500,777,cheap_confidence_option,0.7531727531727531,
falcon3_7b_instruct,commonsenseqa,500,777,cheap_plus_pca_hidden,0.7158767158767158,0.6801037788391113
falcon3_7b_instruct,commonsenseqa,500,2025,cheap_confidence_option,0.8262108262108263,
falcon3_7b_instruct,commonsenseqa,500,2025,cheap_plus_pca_hidden,0.781921781921782,0.6831721067428589
falcon3_7b_instruct,commonsenseqa,1000,42,cheap_confidence_option,0.8267935767935768,
falcon3_7b_instruct,commonsenseqa,1000,42,cheap_plus_pca_hidden,0.8433048433048432,0.643252968788147
falcon3_7b_instruct,commonsenseqa,1000,7,cheap_confidence_option,0.8580678580678579,
falcon3_7b_instruct,commonsenseqa,1000,7,cheap_plus_pca_hidden,0.8548951048951049,0.6434608101844788
falcon3_7b_instruct,commonsenseqa,1000,123,cheap_confidence_option,0.794936544936545,
falcon3_7b_instruct,commonsenseqa,1000,123,cheap_plus_pca_hidden,0.7784900284900285,0.6426935195922852
falcon3_7b_instruct,commonsenseqa,1000,777,cheap_confidence_option,0.8104765604765605,
falcon3_7b_instruct,commonsenseqa,1000,777,cheap_plus_pca_hidden,0.7762885262885264,0.6418893933296204
falcon3_7b_instruct,commonsenseqa,1000,2025,cheap_confidence_option,0.7945480445480445,
falcon3_7b_instruct,commonsenseqa,1000,2025,cheap_plus_pca_hidden,0.7742812742812744,0.6437118053436279
falcon3_7b_instruct,hellaswag,100,42,cheap_confidence_option,0.7639751552795031,
falcon3_7b_instruct,hellaswag,100,42,cheap_plus_pca_hidden,0.7888198757763976,0.9861838221549988
falcon3_7b_instruct,hellaswag,100,7,cheap_confidence_option,0.8074534161490684,
falcon3_7b_instruct,hellaswag,100,7,cheap_plus_pca_hidden,0.7639751552795032,0.9863446950912476
falcon3_7b_instruct,hellaswag,100,123,cheap_confidence_option,0.8012422360248447,
falcon3_7b_instruct,hellaswag,100,123,cheap_plus_pca_hidden,0.6770186335403727,0.9854146242141724
falcon3_7b_instruct,hellaswag,100,777,cheap_confidence_option,0.7639751552795031,
falcon3_7b_instruct,hellaswag,100,777,cheap_plus_pca_hidden,0.5652173913043478,0.9858989715576172
falcon3_7b_instruct,hellaswag,100,2025,cheap_confidence_option,0.968944099378882,
falcon3_7b_instruct,hellaswag,100,2025,cheap_plus_pca_hidden,0.9503105590062112,0.9863459467887878
falcon3_7b_instruct,hellaswag,300,42,cheap_confidence_option,0.7219251336898396,
falcon3_7b_instruct,hellaswag,300,42,cheap_plus_pca_hidden,0.6717914438502673,0.8204302787780762
falcon3_7b_instruct,hellaswag,300,7,cheap_confidence_option,0.7245989304812834,
falcon3_7b_instruct,hellaswag,300,7,cheap_plus_pca_hidden,0.6758021390374331,0.8198448419570923
falcon3_7b_instruct,hellaswag,300,123,cheap_confidence_option,0.7266042780748664,
falcon3_7b_instruct,hellaswag,300,123,cheap_plus_pca_hidden,0.77072192513369,0.8233287334442139
falcon3_7b_instruct,hellaswag,300,777,cheap_confidence_option,0.8616310160427808,
falcon3_7b_instruct,hellaswag,300,777,cheap_plus_pca_hidden,0.7967914438502673,0.8198354244232178
falcon3_7b_instruct,hellaswag,300,2025,cheap_confidence_option,0.8856951871657754,
falcon3_7b_instruct,hellaswag,300,2025,cheap_plus_pca_hidden,0.8442513368983958,0.8221287727355957
falcon3_7b_instruct,hellaswag,500,42,cheap_confidence_option,0.7994639376218323,
falcon3_7b_instruct,hellaswag,500,42,cheap_plus_pca_hidden,0.7848440545808966,0.7794060111045837
falcon3_7b_instruct,hellaswag,500,7,cheap_confidence_option,0.8250487329434698,
falcon3_7b_instruct,hellaswag,500,7,cheap_plus_pca_hidden,0.7429337231968811,0.7797895073890686
falcon3_7b_instruct,hellaswag,500,123,cheap_confidence_option,0.7984892787524366,
falcon3_7b_instruct,hellaswag,500,123,cheap_plus_pca_hidden,0.7485380116959064,0.7807725071907043
falcon3_7b_instruct,hellaswag,500,777,cheap_confidence_option,0.8620857699805067,
falcon3_7b_instruct,hellaswag,500,777,cheap_plus_pca_hidden,0.8360136452241715,0.783950686454773
falcon3_7b_instruct,hellaswag,500,2025,cheap_confidence_option,0.8611111111111112,
falcon3_7b_instruct,hellaswag,500,2025,cheap_plus_pca_hidden,0.8623294346978557,0.7809267640113831
falcon3_7b_instruct,hellaswag,1000,42,cheap_confidence_option,0.8134137426900585,
falcon3_7b_instruct,hellaswag,1000,42,cheap_plus_pca_hidden,0.7960526315789473,0.7512075304985046
falcon3_7b_instruct,hellaswag,1000,7,cheap_confidence_option,0.8131091617933722,
falcon3_7b_instruct,hellaswag,1000,7,cheap_plus_pca_hidden,0.810124269005848,0.7512651681900024
falcon3_7b_instruct,hellaswag,1000,123,cheap_confidence_option,0.7842958089668616,
falcon3_7b_instruct,hellaswag,1000,123,cheap_plus_pca_hidden,0.7903265107212475,0.7521294355392456
falcon3_7b_instruct,hellaswag,1000,777,cheap_confidence_option,0.8627558479532164,
falcon3_7b_instruct,hellaswag,1000,777,cheap_plus_pca_hidden,0.8386939571150098,0.7526150345802307
falcon3_7b_instruct,hellaswag,1000,2025,cheap_confidence_option,0.815119395711501,
falcon3_7b_instruct,hellaswag,1000,2025,cheap_plus_pca_hidden,0.8031189083820662,0.7526583671569824
falcon3_7b_instruct,mmlu_all,100,42,cheap_confidence_option,0.9027777777777778,
falcon3_7b_instruct,mmlu_all,100,42,cheap_plus_pca_hidden,0.9398148148148149,0.9943411350250244
falcon3_7b_instruct,mmlu_all,100,7,cheap_confidence_option,0.712962962962963,
falcon3_7b_instruct,mmlu_all,100,7,cheap_plus_pca_hidden,0.7268518518518519,0.98737633228302
